Neighborhood,Percentage of Units that are FM,Cap Rates
,,
Lower East Side ,Average In Place Cap Rate (100% FM),5.00% - 6.00% 
,Average In Place Cap Rate (75% FM),5.50% - 6.50% 
,Average In Place Cap Rate (50% FM),6.00% - 7.00% 
,Average In Place Cap Rate (25% FM),6.50% - 7.50%
,Average In Place Cap Rate (0% FM),7.00% - 8.00% 
,,
,,
East Village ,Average In Place Cap Rate (100% FM),5.00% - 6.00% 
,Average In Place Cap Rate (75% FM),5.50% - 6.50% 
,Average In Place Cap Rate (50% FM),6.00% - 7.00% 
,Average In Place Cap Rate (25% FM),6.50% - 7.50%
,Average In Place Cap Rate (0% FM),7.00% - 8.00% 
,,
,,
Chelsea,Average In Place Cap Rate (100% FM),5.00% - 6.00% 
,Average In Place Cap Rate (75% FM),5.50% - 6.50% 
,Average In Place Cap Rate (50% FM),6.00% - 7.00% 
,Average In Place Cap Rate (25% FM),6.50% - 7.50%
,Average In Place Cap Rate (0% FM),7.00% - 8.00% 
,,
,,
Upper East Side ,Average In Place Cap Rate (100% FM),5.00% - 6.00% 
,Average In Place Cap Rate (75% FM),5.50% - 6.50% 
,Average In Place Cap Rate (50% FM),6.00% - 7.00% 
,Average In Place Cap Rate (25% FM),6.50% - 7.50%
,Average In Place Cap Rate (0% FM),7.00% - 8.00% 
,,
,,
Upper West Side ,Average In Place Cap Rate (100% FM),5.00% - 6.00% 
,Average In Place Cap Rate (75% FM),5.50% - 6.50% 
,Average In Place Cap Rate (50% FM),6.00% - 7.00% 
,Average In Place Cap Rate (25% FM),6.50% - 7.50%
,Average In Place Cap Rate (0% FM),7.00% - 8.00% 
,,
,,
Chinatown ,Average In Place Cap Rate (100% FM),5.50% - 6.50% 
,Average In Place Cap Rate (75% FM),6.00% - 7.00% 
,Average In Place Cap Rate (50% FM),6.50% - 7.50% 
,Average In Place Cap Rate (25% FM),7.00% - 8.00%
,Average In Place Cap Rate (0% FM),7.50% - 8.50% 
,,
,,
Midtown East ,Average In Place Cap Rate (100% FM),5.25% - 6.25%
,Average In Place Cap Rate (75% FM),5.75% - 6.75%
,Average In Place Cap Rate (50% FM),6.25% - 7.25%
,Average In Place Cap Rate (25% FM),6.75% - 7.75%
,Average In Place Cap Rate (0% FM),7.25% - 8.25%
,,
,,
Midtown West,Average In Place Cap Rate (100% FM),5.25% - 6.25%
,Average In Place Cap Rate (75% FM),5.75% - 6.75%
,Average In Place Cap Rate (50% FM),6.25% - 7.25%
,Average In Place Cap Rate (25% FM),6.75% - 7.75%
,Average In Place Cap Rate (0% FM),7.25% - 8.25%
,,
,,
West Village ,Average In Place Cap Rate (100% FM),4.75% - 5.75%
,Average In Place Cap Rate (75% FM),5.25% - 6.25%
,Average In Place Cap Rate (50% FM),5.75% - 6.75%
,Average In Place Cap Rate (25% FM),6.25% - 7.25%
,Average In Place Cap Rate (0% FM),6.75% - 7.75%
,,
,,
SoHo,Average In Place Cap Rate (100% FM),4.75% - 5.75%
,Average In Place Cap Rate (75% FM),5.25% - 6.25%
,Average In Place Cap Rate (50% FM),5.75% - 6.75%
,Average In Place Cap Rate (25% FM),6.25% - 7.25%
,Average In Place Cap Rate (0% FM),6.75% - 7.75%
,,
,,
,,
TriBeCa,Average In Place Cap Rate (100% FM),4.75% - 5.75%
,Average In Place Cap Rate (75% FM),5.25% - 6.25%
,Average In Place Cap Rate (50% FM),5.75% - 6.75%
,Average In Place Cap Rate (25% FM),6.25% - 7.25%
,Average In Place Cap Rate (0% FM),6.75% - 7.75%
,,
,,
Gramercy ,Average In Place Cap Rate (100% FM),5.00% - 6.00% 
,Average In Place Cap Rate (75% FM),5.50% - 6.50% 
,Average In Place Cap Rate (50% FM),6.00% - 7.00% 
,Average In Place Cap Rate (25% FM),6.50% - 7.50%
,Average In Place Cap Rate (0% FM),7.00% - 8.00% 
,,
,,
Greenwich Village ,Average In Place Cap Rate (100% FM),4.75% - 5.75%
,Average In Place Cap Rate (75% FM),5.25% - 6.25%
,Average In Place Cap Rate (50% FM),5.75% - 6.75%
,Average In Place Cap Rate (25% FM),6.25% - 7.25%
,Average In Place Cap Rate (0% FM),6.75% - 7.75%
,,
NoHo,Average In Place Cap Rate (100% FM),4.75% - 5.75%
,Average In Place Cap Rate (75% FM),5.25% - 6.25%
,Average In Place Cap Rate (50% FM),5.75% - 6.75%
,Average In Place Cap Rate (25% FM),6.25% - 7.25%
,Average In Place Cap Rate (0% FM),6.75% - 7.75%
